Kruegerl Bier / Radler|4.00|1
Glas Bier / Radler|3.50|1
Fl. Schlossgold|4.00|1
1/4 l Mischung|2.50|1
1/4 l Tipperl|2.00|1
1/2 l Tipperl|3.50|1
Fl. Limonade|2.50|1
1/2 l Limonade gespritzt|3.00|1
1/4 l Cappy|2.00|1
1/4 l Cappy gespritzt|2.00|1
1/2 l Cappy gespritzt|3.50|1
1/4 l Apfelsaft|2.00|1
1/4 l Apfelsaft gespritzt|2.00|1
1/2 l Apfelsaft gespritzt|3.50|1
1/4 l Pfirsichnektar gesp.|2.00|1
1/2 l Pfirsichnektar gesp.|3.50|1
1/4 l Mineral|1.00|1
Fl. Mineral|3.00|1
Schnitzel|10.00|2
Kotelett|10.00|2
Gemueseleibchen m. Salat|9.00|2
1/2 Grillhendl m. Gb.|9.00|4
Schnitzelsemmel|5.00|2
Kotelettsemmel|5.00|2
Grillwuerstel m. Gb.|4.00|2
Frankfurter m. Gb.|3.50|2
Portion Salat|3.50|2
Portion Pommes|3.50|2
Semmel|0.50|5
Kaffee|2.50|3
Mehlspeise|3.50|3
